2013-05-12 22:49:23,390 [Worker-1] INFO  o.e.m.c.i.i.nexus.NexusIndexManager - Updating index for repository: central|http://repo.maven.apache.org/maven2
2013-05-12 22:49:23,455 [Worker-1] INFO  c.n.h.c.p.n.NettyAsyncHttpProvider - Number of application's worked threads is 8
2013-05-12 22:49:25,695 [Worker-1] INFO  o.e.m.c.i.i.nexus.NexusIndexManager - Updated index for repository: central|http://repo.maven.apache.org/maven2 in 2310 ms
2013-05-12 22:49:54,568 [Worker-2] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: sve2.fhbay.client:fhbay-beans-client:1.0.0 @ C:\public\workspace\fhbay-beans-client\pom.xml.
2013-05-12 22:49:55,325 [Worker-2] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using DEFAULT lifecycle mapping for MavenProject: sve2.ejb:fhbay-beans:1.0.0 @ C:\public\workspace\fhbay-beans\pom.xml.
2013-05-12 22:49:55,454 [Worker-2] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: sve2.fhbay.client:fhbay-beans-client:1.0.0 @ C:\public\workspace\fhbay-beans-client\pom.xml.
2013-05-12 22:49:55,504 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using DEFAULT lifecycle mapping for MavenProject: sve2.ejb:fhbay-beans:1.0.0 @ C:\public\workspace\fhbay-beans\pom.xml.
2013-05-12 22:49:56,284 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2013-05-12 22:49:56,289 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2013-05-12 22:49:56,304 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2013-05-12 22:49:56,304 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-05-12 22:49:56,494 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: sve2.fhbay.client:fhbay-beans-client:1.0.0 @ C:\public\workspace\fhbay-beans-client\pom.xml.
2013-05-12 22:49:56,804 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2013-05-12 22:49:56,809 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2013-05-12 22:49:56,819 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2013-05-12 22:49:56,824 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-05-12 22:49:58,179 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: sve2.fhbay.client:fhbay-beans-client:1.0.0 @ C:\public\workspace\fhbay-beans-client\pom.xml.
2013-05-12 22:49:58,459 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using DEFAULT lifecycle mapping for MavenProject: sve2.ejb:fhbay-beans:1.0.0 @ C:\public\workspace\fhbay-beans\pom.xml.
2013-05-12 22:49:58,841 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2013-05-12 22:49:58,846 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2013-05-12 22:49:58,856 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
